"movieTitle" "popular" "good" "bad"
"1" 魔髮精靈 6 1 0
"2" 比利林恩 127 51 3
"3" 的中場戰事 85 40 4
"4" 怪獸與牠們的產地 116 29 3
"5" 死亡筆記本: 4 0 0
"6" 決戰新世界 10 1 2
"7" 烈火邊境 8 0 0
"8" 惡魔蛙男 18 3 0
"9" 我們的輕狂年代 7 2 0
"10" 鋼鐵英雄 56 21 1
"11" 怪物來敲門 35 18 0
"12" 腸腸搞轟趴 25 8 0
"13" 路易的第9條命 5 1 0
"14" 育陰房 7 3 0
"15" 追殺厄夜叢林 6 2 0
"16" 鋼鐵麥斯 12 0 3
"17" 一路順風 18 8 2
"18" 毛小孩選邊站 0 0 0
"19" 絕命瘋人院 0 0 0
"20" 陰桃術 0 0 0
"21" 暗殺教室：365日倒數計時 0 0 0
"22" 玩命光頭 3 0 0
"23" 只要我長大 21 7 0
"24" 玩酷壞痞子 0 0 0
"25" 獻給米其林 6 1 0
"26" 的生命貴客 6 1 0
"27" 密探 17 3 0
"28" 沉默 23 3 0
"29" 夜行動物 7 1 0
"30" 星際大戰外傳: 1 0 0
"31" 俠盜一號 12 0 0
"32" 星際過客 4 0 0
"33" 長城 7 0 0
"34" 間諜大鄰演 0 0 0
"35" 不過就是世界 1 0 0
"36" 末日 56 3 0
"37" 最美的安排 4 0 0
"38" 惱爸偏頭痛 0 0 0
"39" 刺客教條 16 0 0
"40" 決戰異世界5 0 0 0
"41" 樂來越愛你 10 0 0
"42" 一萬公里的約定 1 0 0
"43" 聖誕搞轟趴 1 0 0
"44" 擺渡人 2 0 0
"45" 墮落天使 2 0 0
"46" 歡樂好聲音 9 0 0
"47" 遇見街貓BOB 4 1 0
"48" 通靈美人 0 0 0
"49" 卡內陰 1 0 0
"50" 失控隧道 0 0 0
"51" 金爆內幕 1 0 0
"52" 終極車陣: 飆出重圍 0 0 0
"53" 怪物遊戲 12 4 0
"54" 神鬼獵人 166 38 15
"55" 大賣空 51 22 0
"56" 第5毀滅 7 3 1
"57" 13小時 31 13 2
"58" 翻轉幸福 15 3 1
"59" 女權之聲 14 8 1
"60" 愛在他鄉 19 12 0
"61" 史帝夫賈伯斯 27 13 2
"62" 安諾瑪麗莎 13 10 0
"63" 葉問3 52 15 1
"64" 瞎趴姊妹 3 1 0
"65" 驚天巨浪 7 3 0
"66" 阿公歐買尬 22 2 3
"67" 寂寞公路 10 4 0
"68" 家有兩個爸 5 1 1
"69" 惡女訂製服 13 4 0
"70" 終極救援 7 0 0
"71" 鼠來寶4 0 0 0
"72" 聖獄:耶路撒冷 3 0 1
"73" 我們全家不太熟 5 2 1
"74" 新世紀福爾摩斯 31 12 4
"75" 45年 16 8 0
"76" 索爾之子 16 11 0
"77" 銀河街道 5 0 0
"78" 為愛而生 0 0 0
"79" 久美子的奇異旅程 6 2 0
"80" 教父啟示錄 2 1 0
"81" 妖怪手錶 9 2 0
"82" 極地奇蹟 2 0 1
"83" 恐龍當家 16 4 2
"84" 惡棍英雄:死侍 3 1 0
"85" 八惡人 54 21 0
"86" 震盪 12 5 0
"87" 效應 50 7 1
